msoa11cd,total_number_of_collisions_2018_2022,total_number_of_casualties_2018_2022,fatal_casualties_2018_2022,cyclist_casualties_2018_2022,pedestrian_casualties_2018_2022,horse_rider_casualties_2018_2022,car_occupant_casualties_2018_2022,snow_collisions_2018_2022,fog_or_mist_collisions_2018_2022,darkness_collisions_2018_2022,daylight_collisions_2018_2022,summer_collisions_2018_2022
E02000977,1060,50,0,6,16,0,10,4,4,431,629,300
E02000001,970,40,0,16,9,0,4,6,6,314,656,281
N99999999,890,0,0,0,0,0,0,890,890,890,890,890
E02000972,727,70,0,15,23,0,12,6,5,280,447,186
E02000371,616,141,3,46,27,0,23,7,7,261,355,173
E02000978,590,36,0,11,13,0,3,6,6,170,420,186
E02001731,493,62,0,7,24,0,6,12,8,203,292,97
E02003517,489,91,0,19,23,0,26,6,6,157,332,145
E02000970,484,43,0,7,21,0,2,5,5,141,343,116
E02000524,474,102,1,10,10,0,18,4,4,162,312,109
E02000193,455,45,1,15,12,0,3,4,4,129,326,116
E02003043,439,54,0,17,10,0,3,6,6,165,274,97
E02002221,432,161,1,3,45,0,4,10,9,140,292,109
E02000979,429,59,0,13,15,0,8,5,5,125,304,125
E02000891,424,151,2,29,33,0,26,9,8,173,251,104
E02001876,423,0,0,9,12,0,2,5,5,159,264,86
E02006875,421,39,0,10,15,0,0,5,5,137,284,102
E02000808,419,70,0,24,14,0,9,5,5,141,278,133
E02003859,416,59,1,6,9,1,3,9,7,102,314,112
E02002680,415,119,2,31,25,0,9,5,6,135,280,93
E02006344,402,84,1,10,5,0,11,6,6,119,283,112
E02006801,395,92,0,27,16,0,14,5,5,128,267,120
E02000664,375,192,0,46,29,0,37,6,6,93,282,103
E02000878,374,114,1,40,18,0,25,5,5,138,237,91
E02000932,364,130,0,63,15,0,14,6,6,121,243,111
E02000220,362,169,0,14,32,0,45,5,5,139,223,92
E02000252,359,163,0,23,22,0,66,5,5,131,228,76
E02000967,357,44,0,12,13,0,7,4,4,94,263,86
E02000106,350,238,1,16,35,0,127,6,6,118,232,89
E02004929,345,41,0,6,4,0,8,4,6,116,229,89
E02000575,342,95,1,31,17,0,20,7,7,107,235,81
E02003637,337,108,1,2,11,0,6,5,9,109,229,82
E02000365,332,139,2,59,20,0,24,8,8,124,208,86
E02003310,332,176,0,11,18,0,25,6,6,95,238,103
E02000186,328,71,0,18,20,0,14,4,4,109,219,98
E02006802,328,88,0,30,25,0,13,5,5,116,212,86
E02006929,328,114,0,28,19,0,18,5,5,125,203,93
