msoa11cd,total_number_of_collisions_2018_2022,total_number_of_casualties_by_casualty_lsoa_2018_2022,total_number_of_casualties_by_msoa_of_accident_2018_2022,fatal_casualties_2018_2022,cyclist_casualties_2018_2022,pedestrian_casualties_2018_2022,car_occupant_casualties_2018_2022,motorcycle_casualties_2018_2022,horse_rider_casualties_2018_2022,snow_collisions_2018_2022,fog_or_mist_collisions_2018_2022,darkness_collisions_2018_2022,daylight_collisions_2018_2022,summer_collisions_2018_2022,winter_collisions_2018_2022
E02000977,1060,50,1175,4,309,360,108,222,2,4,4,431,629,300,242
E02000001,970,40,1051,4,409,291,53,184,0,6,6,314,656,281,207
N99999999,890,0,0,0,0,0,0,0,0,890,890,890,890,890,890
E02000972,727,70,799,1,197,326,72,127,0,6,5,280,447,186,172
E02000371,616,141,683,1,253,148,110,120,0,7,7,261,355,173,135
E02000978,590,36,682,0,207,90,116,157,0,6,6,170,420,186,119
E02001731,493,62,611,4,57,215,195,23,0,12,8,203,292,97,140
E02003517,489,91,554,1,108,191,54,101,0,6,6,157,332,145,112
E02000970,484,43,532,2,131,139,69,116,0,5,5,141,343,116,99
E02000524,474,102,642,8,26,40,431,49,0,4,4,162,312,109,123
E02000193,455,45,491,3,175,127,52,71,0,4,4,129,326,116,99
E02003043,439,54,476,1,158,140,80,64,0,6,6,165,274,97,90
E02002221,432,161,601,4,34,123,377,18,0,10,9,140,292,109,120
E02000979,429,59,489,2,167,132,45,89,1,5,5,125,304,125,96
E02000891,424,151,531,1,66,58,224,114,0,9,8,173,251,104,106
E02001876,423,65,596,3,34,73,402,32,0,5,5,159,264,86,114
E02006875,421,39,516,2,72,168,173,24,0,5,5,137,284,102,118
E02000808,419,70,454,1,202,84,40,95,0,5,5,141,278,133,72
E02003859,416,59,569,11,55,19,381,36,2,9,7,102,314,112,108
E02002680,415,119,488,5,104,101,166,37,0,5,6,135,280,93,114
E02006344,402,84,597,1,33,13,455,40,0,6,6,119,283,112,86
E02006801,395,92,436,1,157,93,40,85,0,5,5,128,267,120,83
E02000664,375,192,452,1,99,65,144,76,0,6,6,93,282,103,90
E02000878,374,114,407,0,154,73,45,101,0,5,5,138,237,91,93
E02000932,364,130,405,2,118,63,77,99,0,6,6,121,243,111,67
E02000220,362,169,431,2,35,95,165,81,0,5,5,139,223,92,86
E02000252,359,163,437,2,35,31,193,123,0,5,5,131,228,76,94
E02000967,357,44,411,0,140,63,68,95,0,4,4,94,263,86,80
E02000106,350,238,425,3,21,41,229,93,0,6,6,118,232,89,93
E02004929,345,41,583,9,15,8,462,33,0,4,6,116,229,89,88
E02000575,342,95,367,1,179,46,24,80,0,7,7,107,235,81,76
E02003637,337,108,552,14,3,15,428,31,0,5,9,109,229,82,91
E02000365,332,139,361,2,136,63,44,84,0,8,8,124,208,86,68
E02003310,332,176,446,2,27,31,305,39,0,6,6,95,238,103,83
E02000186,328,71,365,0,115,86,49,81,0,4,4,109,219,98,62
E02006802,328,88,371,0,127,59,54,67,0,5,5,116,212,86,58
E02006929,328,114,392,0,34,38,200,70,0,5,5,125,203,93,81
E02000726,326,214,386,0,107,52,141,48,0,5,5,105,221,77,70
E02000971,324,57,360,0,92,70,56,84,0,5,5,110,214,97,78
E02000062,323,121,388,3,20,33,204,91,0,4,4,92,231,90,76
E02006904,322,47,383,1,46,104,127,23,0,6,6,108,214,77,82
E02000827,321,171,355,0,105,57,70,68,0,6,6,123,198,91,69
E02001632,318,12,458,0,24,60,320,16,0,7,7,108,211,90,88
E02006492,313,101,441,10,18,14,330,37,0,7,6,98,216,87,72
E02006900,310,107,412,1,24,81,273,9,0,8,8,111,199,77,76
E02000924,309,186,337,1,92,45,42,121,0,7,7,113,196,64,70
E02000361,307,106,362,1,81,73,73,74,0,4,4,107,200,82,76
E02002890,307,79,368,0,50,102,116,27,0,7,7,93,214,89,73
E02000309,303,186,377,0,22,66,190,55,0,6,6,118,185,83,66
E02000746,302,100,414,2,25,31,273,53,0,4,4,98,204,78,63
E02000930,298,100,324,3,86,49,50,115,0,5,5,97,201,83,72
E02000672,289,147,348,1,53,58,131,58,0,5,5,88,201,73,63
E02002620,289,114,397,2,16,84,266,17,0,6,5,82,207,50,71
E02006932,289,36,338,1,57,154,51,15,0,5,5,131,158,61,75
E02000248,288,91,368,0,8,20,218,77,0,4,4,97,191,70,67
E02000884,286,150,325,1,82,50,78,89,0,5,5,100,186,72,66
E02000782,283,169,344,1,21,63,201,30,0,5,5,100,183,81,71
E02000809,283,130,311,1,125,48,49,64,0,8,8,90,195,109,57
E02005068,283,77,422,4,11,2,333,32,0,7,8,81,203,76,78
E02004529,282,75,407,10,21,5,309,41,0,3,3,73,209,72,65
E02004899,282,43,425,3,16,10,330,24,0,6,4,69,214,80,71
E02000372,280,134,313,1,34,50,93,99,0,5,5,92,188,69,70
E02001560,280,153,341,4,46,84,179,8,0,6,6,97,183,59,73
E02006887,280,73,311,0,117,62,82,27,0,5,5,75,205,81,58
E02000421,277,162,326,0,45,67,103,77,0,4,4,104,173,74,64
